"brand","model","class","type"
"ge","ic693cmm321","h","PLC"
"ge","ic693apu301","h","PLC"
"ge","ic693apu300","h","PLC"
"ge","ic200mdl740","h","PLC"
"ge","ic693cpu311","h","PLC"
"ge","ic200mdd841","h","PLC"
"ge","ic200alg620","h","PLC"
"ge","ic200alg320","h","PLC"
"ge","ic200alg230","h","PLC"
"ge","he693thm809","h","PLC"
"ge","he693rtd600","h","PLC"
"ge","ic693alg223","h","PLC"
"ge","ic693mdl742","h","PLC"
"ge","ic693pwr711","h","PLC"
"ge","ic693ebm200","h","PLC"
"ge","ic693cpu313","h","PLC"
"ge","ic200acc201","h","PLC"
"ge","ic200acc202","h","PLC"
"ge","ic200acc301","h","PLC"
"ge","ic200acc302","h","PLC"
"ge","ic200acc303","h","PLC"
"ge","ic200chs002","h","PLC"
"ge","ic200chs003","h","PLC"
"ge","ic200chs005","h","PLC"
"ge","ic200chs006","h","PLC"
"ge","ic200chs011","h","PLC"
"ge","ic200chs012","h","PLC"
"ge","ic200chs014","h","PLC"
"ge","ic200chs015","h","PLC"
"ge","ic200chs022","h","PLC"
"ge","ic200chs025","h","PLC"
"ge","ic200chs101","h","PLC"
"ge","ic200chs102","h","PLC"
"ge","ic200chs111","h","PLC"
"ge","ic200chs112","h","PLC"
"ge","ic200chs121","h","PLC"
"ge","ic200chs122","h","PLC"
"ge","ic200cmm020","h","PLC"
"ge","ic200cpu001","h","PLC"
"ge","ic200alg432lt","h","PLC"
"ge","ic200alg630","h","PLC"
"ge","ic200bem002","h","PLC"
"ge","ic200bem103","h","PLC"
"ge","ic200bem104","h","PLC"
"ge","ic200cbl001","h","PLC"
"ge","ic200alg620lt","h","PLC"
"ge","ic200cbl002","h","PLC"
"ge","ic200cbl105","h","PLC"
"ge","ic200cbl110","h","PLC"
"ge","ic200cbl120","h","PLC"
"ge","ic200cbl230","h","PLC"
"ge","ic200cbl500","h","PLC"
"ge","ic200cbl501","h","PLC"
"ge","ic200cbl505","h","PLC"
"ge","ic200cbl510","h","PLC"
"ge","ic200cbl520","h","PLC"
"ge","ic200cbl525","h","PLC"
"ge","ic200cbl545","h","PLC"
"ge","ic200cbl550","h","PLC"
"ge","ic200cbl555","h","PLC"
"ge","ic200cbl600","h","PLC"
"ge","ic200cbl601","h","PLC"
"ge","ic200cbl602","h","PLC"
"ge","ic200cbl605","h","PLC"
"ge","ic200cbl615","h","PLC"
"ge","ic200cbl635","h","PLC"
"ge","ic200cbl655","h","PLC"
"ge","ic200chs001","h","PLC"
"ge","ic200udr064","h","PLC"
"ge","ic200udr164","h","PLC"
"ge","ic200uec008","h","PLC"
"ge","ic200uec108","h","PLC"
"ge","ic200uec208","h","PLC"
"ge","ic200uei008","h","PLC"
"ge","ic200uei016","h","PLC"
"ge","ic200uem001","h","PLC"
"ge","ic200ueo008","h","PLC"
"ge","ic200ueo016","h","PLC"
"ge","ic200ueo108","h","PLC"
"ge","ic200ueo116","h","PLC"
"ge","ic697cse925","h","PLC"
"ge","ic697cse925rr","h","PLC"
"ge","ic697gdc701rr","h","PLC"
"ge","ic697gdh701","h","PLC"
"ge","ic697gds701","h","PLC"
"ge","ic697hsc700","h","PLC"
"ge","ic697hsc700rr","h","PLC"
"ge","ic697lbr701","h","PLC"
"ge","ic697mcs704","h","PLC"
"ge","ic697mdl240","h","PLC"
"ge","ic697mdl240rr","h","PLC"
"ge","ic697mdl241","h","PLC"
"ge","ic697mdl241rr","h","PLC"
"ge","ic697mdl250","h","PLC"
"ge","ic697mdl250rr","h","PLC"
"ge","ic697mdl251","h","PLC"
"ge","ic697mdl251rr","h","PLC"
"ge","ic697mdl252","h","PLC"
"ge","ic697mdl252rr","h","PLC"
"ge","ic697mdl253","h","PLC"
"ge","ic697mdl254","h","PLC"
"ge","ic697mdl340","h","PLC"
"ge","ic697mdl340rr","h","PLC"
"ge","ic697mdl341","h","PLC"
"ge","ic697mdl341rr","h","PLC"
"ge","ic697mdl350","h","PLC"
"ge","ic697mdl350rr","h","PLC"
"ge","ic697mdl640","h","PLC"
"ge","ic697mdl640rr","h","PLC"
"ge","ic697mdl650rr","h","PLC"
"ge","ic697mdl651","h","PLC"
"ge","ic697mdl651rr","h","PLC"
"ge","ic697mdl652","h","PLC"
"ge","ic697mdl652ca","h","PLC"
"ge","ic697mdl652rr","h","PLC"
"ge","ic697mdl653","h","PLC"
"ge","ic697mdl653rr","h","PLC"
"ge","ic697mdl654","h","PLC"
"ge","ic697mdl654rr","h","PLC"
"ge","ic697mdl671","h","PLC"
"ge","ic697mdl671rr","h","PLC"
"ge","ic697mdl740","h","PLC"
"ge","ic697mdl740rr","h","PLC"
"ge","ic697mdl750","h","PLC"
"ge","ic697mdl750rr","h","PLC"
"ge","ic697mdl752","h","PLC"
"ge","ic697mdl752ca","h","PLC"
"ge","ic697mdl752rr","h","PLC"
"ge","ic697mdl753","h","PLC"
"ge","ic697mdl753rr","h","PLC"
"ge","ic697mdl940","h","PLC"
"ge","ic697mdl940rr","h","PLC"
"ge","ic697mem713","h","PLC"
"ge","ic697mem713rr","h","PLC"
"ge","ic697mem715","h","PLC"
"ge","ic697mem715rr","h","PLC"
"ge","ic697mem717","h","PLC"
"ge","ic697mem717rr","h","PLC"
"ge","ic697mem719","h","PLC"
"ge","ic697mem719rr","h","PLC"
"ge","ic200acc003","h","PLC"
"ge","mv6601","h","VFD"
"ge","mv6604","h","VFD"
"ge","mv6606","h","VFD"
"ge","mv6603","h","VFD"
"ge","u3sn022kosns","h","VFD"
"ge","6kgp23f50x2rbca1","h","VFD"
"ge","historian","a","UnkICS"
"ge","multilin sr 745 transformer protection relay","h","RPD"
"ge","multilin  sr 489 generator protection relay","h","RPD"
"ge","multilin urplus d90","h","RPD"
"ge","multilin urplus c90","h","RPD"
"ge","multilin urplus b95","h","RPD"
"ge","multilin universal relay","h","RPD"
"ge","multilin sr 750 feeder protection relay","h","RPD"
"ge","multilin sr 369 motor protection relay","h","RPD"
"ge","multilin sr 760 feeder protection relay","h","RPD"
"ge","multilin sr 469 motor protection relay","h","RPD"
"schneider","tsxfana4p","h","PLC"
"hipcam","400","h","PLC"
"schneider","tsxfana5p","h","PLC"
"hollysys","hd2400","h","HMI"
"hollysys","le5106","h","PLC"
"hollysys","le5107","h","PLC"
"hollysys","le5107e","h","PLC"
"hollysys","le5108","h","PLC"
"hollysys","le5109","h","PLC"
"hollysys","le5210","h","PLC"
"hollysys","le5211","h","PLC"
"hollysys","le5212","h","PLC"
"hollysys","le5220","h","PLC"
"hollysys","le5221","h","PLC"
"hollysys","le5223","h","PLC"
"hollysys","le5224","h","PLC"
"hollysys","lk202","h","PLC"
"hollysys","lk205","h","PLC"
"hollysys","lk207","h","PLC"
"hollysys","lk209","h","PLC"
"hollysys","lk210","h","PLC"
"hollysys","lk211","h","PLC"
"hollysys","lk212","h","PLC"
"hollysys","lm3104","h","PLC"
"hollysys","lm3105","h","PLC"
"hollysys","lm3106","h","PLC"
"hollysys","lm3106a","h","PLC"
"hollysys","lm3107","h","PLC"
"hollysys","lm3107e","h","PLC"
"hollysys","lm3108","h","PLC"
"hollysys","lm3109","h","PLC"
"hollysys","ht8420t","h","HMI"
"hollysys","ht8720t","h","HMI"
"hollysys","ht8700t","h","HMI"
"hollysys","ht8700te","h","HMI"
"hollysys","ht8a00t","h","HMI"
"hollysys","ht8a00te","h","HMI"
"hollysys","ht8c20t","h","HMI"
"hollysys","ht8e20t","h","HMI"
"hollysys","hd2400l","h","HMI"
"hollysys","hd3400l","h","HMI"
"hollysys","hd2100","h","HMI"
"hollysys","ht7100","h","HMI"
"hollysys","hgd303-1r1-1ab","h","VFD"
"hollysys","hgd303-1r5-1ab","h","VFD"
"hollysys","hgd303-0r7g","h","VFD"
"hollysys","hgd303-1r5g","h","VFD"
"hollysys","hgd303-2r2g","h","VFD"
"hollysys","hgd303-4r0g","h","VFD"
"hollysys","hgd303-5r5g","h","VFD"
"hollysys","hgd303-7r5g","h","VFD"
"hollysys","hgd303-9r0g","h","VFD"
"hollysys","hgd303-011g","h","VFD"
"hollysys","hgd303-015g","h","VFD"
"hollysys","hgd303-018g","h","VFD"
"hollysys","hgd303-022g","h","VFD"
"hollysys","hgd303-030g","h","VFD"
"hollysys","hgd303-037g","h","VFD"
"hollysys","hgd303-045g","h","VFD"
"hollysys","hgd303-055g","h","VFD"
"hollysys","hgd303-075g","h","VFD"
"hollysys","hgd303-090g","h","VFD"
"hollysys","hgd303-110g","h","VFD"
"hollysys","hgd303-132g","h","VFD"
"hollysys","hgd303-160g","h","VFD"
"hollysys","hgd303-185g","h","VFD"
"hollysys","hgd303-200g","h","VFD"
"hollysys","hgd303-220g","h","VFD"
"hollysys","hgd303-250g","h","VFD"
"hollysys","hgd303-280g","h","VFD"
"hollysys","hgd303-315g","h","VFD"
"hollysys","hgd303-355g","h","VFD"
"hollysys","hgd303-400g","h","VFD"
"hollysys","hgd300-0r7-3ab","h","VFD"
"hollysys","hgd300-1r5-3ab","h","VFD"
"hollysys","hgd300-2r2-3ab","h","VFD"
"hollysys","hgd300-4r0-3ab","h","VFD"
"hollysys","hgd300-5r5-3ab","h","VFD"
"hollysys","hgd300-7r5-3ab","h","VFD"
"hollysys","hgd300-9r0-3ab","h","VFD"
"hollysys","hgd300-011-3ab","h","VFD"
"hollysys","hgd300-015-3ab","h","VFD"
"hollysys","hgd300-018-3a","h","VFD"
"hollysys","hgd300-022-3a","h","VFD"
"hollysys","hgd300-030-3a","h","VFD"
"hollysys","hgd300-037-3a","h","VFD"
"hollysys","hgd300-045-3a","h","VFD"
"hollysys","hgd300-055-3a","h","VFD"
"hollysys","hgd300-075-3a","h","VFD"
"hollysys","hgd300-090-3a","h","VFD"
"hollysys","hgd300-110-3a","h","VFD"
"hollysys","hgd300-132-3a","h","VFD"
"hollysys","hgd300-160-3a","h","VFD"
"hollysys","hgd300-185-3a","h","VFD"
"hollysys","hgd300-200-3a","h","VFD"
"hollysys","hgd300-220-3a","h","VFD"
"hollysys","hgd300-250-3a","h","VFD"
"hollysys","hgd300-280-3a","h","VFD"
"hollysys","le5105","h","PLC"
"honeywell","station8","h","OpSat"
"honeywell","station7","h","OpSat"
"honeywell","station1","h","OpSat"
"honeywell","station2","h","OpSat"
"honeywell","station-","h","OpSat"
"honeywell","inv110w23s","h","VFD"
"honeywell","mz-pcem22","h","VFD"
"honeywell","mz-pceb22","h","VFD"
"honeywell","mz-pcrt05","h","VFD"
"honeywell","mz-pcem01","h","VFD"
"honeywell","mz-pceb12","h","VFD"
"honeywell","mz-pceb11","h","VFD"
"honeywell","mz-pcdt03","h","VFD"
"honeywell","mz-pcdd06","h","VFD"
"honeywell","mz-pcdb01","h","VFD"
"honeywell","tc-prs021","h","VFD"
"honeywell","tp-opadp1-400","h","VFD"
"honeywell","tp-opadp1-300","h","VFD"
"honeywell","tp-opadp1-100","h","VFD"
"honeywell","tp-opadp1-500","h","VFD"
"honeywell","mp-m04k4s","h","VFD"
"honeywell","mp-m08k4s","h","VFD"
"honeywell","mp-m16k4s","h","VFD"
"honeywell","mp-amdr02","h","VFD"
"honeywell","tc-fccn01","h","VFD"
"honeywell","tc-fccr01","h","VFD"
"honeywell","tc-fiah81","h","VFD"
"honeywell","tc-fid161","h","VFD"
"honeywell","tc-fida81","h","VFD"
"honeywell","tc-fil081","h","VFD"
"honeywell","tc-fir081","h","VFD"
"honeywell","tc-foa041","h","VFD"
"honeywell","tc-fod161","h","VFD"
"honeywell","tc-foda81","h","VFD"
"honeywell","tc-for081","h","VFD"
"honeywell","tc-ffpcx1","h","VFD"
"honeywell","tc-ftb301","h","VFD"
"honeywell","tc-ftb3t1","h","VFD"
"honeywell","mz-pceb31","h","VFD"
"honeywell","mz-pcem32","h","VFD"
"honeywell","tp-dsoep1-100","h","VFD"
"honeywell","tp-duikbn-200","h","VFD"
"honeywell","tp-duikbn-100","h","VFD"
"honeywell","inv007w23s","h","VFD"
"honeywell","inv007w43s","h","VFD"
"honeywell","inv015w23s","h","VFD"
"honeywell","inv015w43s","h","VFD"
"honeywell","inv022w23s","h","VFD"
"honeywell","inv022w43s","h","VFD"
"honeywell","inv037w23s","h","VFD"
"honeywell","inv037w43s","h","VFD"
"honeywell","inv055w23s","h","VFD"
"honeywell","inv055w43s","h","VFD"
"honeywell","inv075w23s","h","VFD"
"honeywell","inv075w43s","h","VFD"
"honeywell","inv110w43s","h","VFD"
"honeywell","inv150w23s","h","VFD"
"honeywell","inv185w23s","h","VFD"
"honeywell","inv185w43s","h","VFD"
"honeywell","inv220w23s","h","VFD"
"honeywell","inv220w43s","h","VFD"
"honeywell","inv300w43s","h","VFD"
"honeywell","inv300w23s","h","VFD"
"honeywell","inv900w43s","h","VFD"
"honeywell","inv750w43s","h","VFD"
"honeywell","inv550w43s","h","VFD"
"honeywell","inv450w43s","h","VFD"
"honeywell","inv370w43s","h","VFD"
"honeywell","inv370w23s","h","VFD"
"honeywell","inv1100w43s","h","VFD"
"honeywell","inv1320w43s","h","VFD"
"honeywell","inv1600w43s","h","VFD"
"honeywell","inv1850w43s","h","VFD"
"honeywell","inv2200w43s","h","VFD"
"honeywell","tc-ffc050","h","VFD"
"honeywell","tc-ffc100","h","VFD"
"honeywell","tc-ffc025","h","VFD"
"honeywell","tc-ffif01","h","VFD"
"honeywell","tc-kiol02","h","VFD"
"honeywell","tc-kiol05","h","VFD"
"honeywell","tc-kiol10","h","VFD"
"honeywell","tc-kcc200","h","VFD"
"honeywell","tc-kcc500","h","VFD"
"honeywell","tc-kcc900","h","VFD"
"honeywell","tc-kccx01","h","VFD"
"honeywell","tc-kccx03","h","VFD"
"honeywell","tc-kccx10","h","VFD"
"honeywell","tc-kccx30","h","VFD"
"honeywell","tc-kccx50","h","VFD"
"honeywell","tc-mc3bnc","h","VFD"
"honeywell","tc-mc5bnc","h","VFD"
"honeywell","tc-mc6bnc","h","VFD"
"honeywell","hc900-c30","h","PLC"
"honeywell","hc900-c50","h","PLC"
"honeywell","hc900-c70","h","PLC"
"honeywell","hc900-c70r","h","PLC"
"honeywell","tc-fxx102","h","DCS_C"
"honeywell","rc500","h","PLC"
"honeywell","tc-fpcxx2","h","DCS_C"
"hongdian","h7710c-dlnz","h","DTU"
"hongdian","h7710e","h","DTU"
"hongdian","h7118c","h","DTU"
"hongdian","h7118s","h","DTU"
"hongdian","h7118d","h","DTU"
"hongdian","h7118f","h","DTU"
"hongdian","h7210c","h","DTU"
"hongdian","h7210s","h","DTU"
"hongdian","h7210d","h","DTU"
"hongdian","h7210f","h","DTU"
"hongdian","h7710c","h","DTU"
"hongdian","h7710s","h","DTU"
"hongdian","h7710d","h","DTU"
"hongdian","h7710f","h","DTU"
"hongdian","h7710c-dlnz hsupa dtu","h","DTU"
"hongdian","7210c","h","DTU"
"hongdian","h7118","h","DTU"
"hongdian","h7710","h","DTU"
"hongdian","h5510","h","RTU"
"schneider","tsxfand2p","h","PLC"
"oracle","400","h","PLC"
"schneider","tsxfpacc12","h","PLC"
"schneider","tsxfpacc2","h","PLC"
"icp das","tpd-283u","h","HMI"
"icp das","tpd-433f","h","HMI"
"icp das","tpd-433-eu","h","HMI"
"icp das","tpd-433","h","HMI"
"icp das","tpd-432f","h","HMI"
"icp das","vpd-133n","h","HMI"
"icp das","vpd-133","h","HMI"
"icp das","vpd-132n","h","HMI"
"ion","8500","h","PLC"
"koyo","sm1-10r","h","PLC"
"koyo","sm1-14r","h","PLC"
"koyo","sm1-16r","h","PLC"
"koyo","sm1-16r-c","h","PLC"
"koyo","sm1-16t","h","PLC"
"koyo","sm1-16t-c","h","PLC"
"koyo","sm1-24r","h","PLC"
"koyo","sm1-24r-c","h","PLC"
"koyo","sm1-24t","h","PLC"
"koyo","sm1-24t-c","h","PLC"
"koyo","sm1-28r","h","PLC"
"koyo","sh-32","h","PLC"
"koyo","sh-48","h","PLC"
"koyo","sh-64","h","PLC"
"koyo","sh1-32","h","PLC"
"koyo","sh1-64","h","PLC"
"koyo","sh1-48","h","PLC"
"koyo","sh1-32r1","h","PLC"
"koyo","sh1-32t1","h","PLC"
"koyo","sh1-32r1-c","h","PLC"
"koyo","sh1-32r2","h","PLC"
"koyo","sh1-32r2-c","h","PLC"
"koyo","sh1-64r1","h","PLC"
"koyo","sh1-64r1-c","h","PLC"
"koyo","d0-06dd1","h","PLC"
"koyo","d0-06dd2","h","PLC"
"koyo","d0-16nd3","h","PLC"
"koyo","d0-08tr","h","PLC"
"koyo","d0-06da","h","PLC"
"koyo","d0-06aa","h","PLC"
"koyo","sn32dr-a1","h","PLC"
"koyo","sn32dr-b1","h","PLC"
"koyo","sn32dd-a1","h","PLC"
"koyo","sn32dd-b1","h","PLC"
"koyo","sn32dr-a2","h","PLC"
"koyo","sn32dr-b2","h","PLC"
"koyo","sn32dd-a2","h","PLC"
"koyo","sn32dd-b2","h","PLC"
"koyo","sn48dr-a2","h","PLC"
"koyo","sn48dd-a2","h","PLC"
"koyo","sn48dr-b2","h","PLC"
"koyo","sn48dd-b2","h","PLC"
"koyo","sn64dr-a1","h","PLC"
"koyo","sn64dr-b1","h","PLC"
"koyo","h1-4ad","h","PLC"
"koyo","h-8tr1","h","PLC"
"koyo","h-16tr1","h","PLC"
"koyo","h1-16nd1","h","PLC"
"koyo","h1-16cdr1","h","PLC"
"koyo","sh1-64t2","h","PLC"
"koyo","sh1-64r2","h","PLC"
"koyo","sh1-48t2","h","PLC"
"koyo","sh1-48r2","h","PLC"
"koyo","sh1-48r1","h","PLC"
"koyo","sm-24t","h","PLC"
"koyo","sm-24r-c","h","PLC"
"koyo","sm-16t-c","h","PLC"
"koyo","sm-16t","h","PLC"
"koyo","sm-16r-c","h","PLC"
"koyo","se-11r-c-ex","h","PLC"
"koyo","sm-16r","h","PLC"
"koyo","se-11r-ex","h","PLC"
"koyo","f2-08trs","h","PLC"
"koyo","e-20t","h","PLC"
"koyo","e-10nt","h","PLC"
"koyo","u-05j","h","PLC"
"koyo","e-55n","h","PLC"
"koyo","sn64dd-a1","h","PLC"
"koyo","sn64dd-b1","h","PLC"
"koyo","sn64dr-a3","h","PLC"
"koyo","sn64dr-b3","h","PLC"
"koyo","dl205","h","PLC"
"koyo","su-5","h","PLC"
"koyo","su-6b","h","PLC"
"koyo","su-5e","h","PLC"
"koyo","su-5m","h","PLC"
"koyo","su-6m","h","PLC"
"koyo","sr-21","h","PLC"
"koyo","dl-350","h","PLC"
"koyo","d0-05ar","h","PLC"
"koyo","d0-05dr","h","PLC"
"koyo","d0-05ad","h","PLC"
"koyo","d0-05dd","h","PLC"
"koyo","d0-05aa","h","PLC"
"koyo","d0-05da","h","PLC"
"koyo","d0-05dr-d","h","PLC"
"koyo","d0-05dd-d","h","PLC"
"koyo","ea7-s6m-rc","h","HMI"
"koyo","ea7-s6c-rc","h","HMI"
"koyo","ea7-s6c-c","h","HMI"
"koyo","ea7-s6m-c","h","HMI"
"koyo","ea7-t8c-c","h","HMI"
"koyo","ea7-t6c-c","h","HMI"
"koyo","ea7-t10c-c","h","HMI"
"koyo","ea7-t12c-c","h","HMI"
"koyo","ea7-t15c-c","h","HMI"
"koyo","ea7e-tw7cl-c","h","HMI"
"schneider","tsxfpacc3","h","PLC"
"schneider","tsxfpacc4","h","PLC"
"schneider","tsxfpacc6","h","PLC"
"schneider","tsxfpacc7","h","PLC"
"mitsubishi","iq-r","h","PLC"
"mitsubishi","iq-f","h","PLC"
"mitsubishi","fr-a800","h","VFD"
"mitsubishi","fr-f800","h","VFD"
"mitsubishi","fr-a700","h","VFD"
"mitsubishi","fr-e700","h","VFD"
"mitsubishi","fr-f700","h","VFD"
"mitsubishi","fr-l700","h","VFD"
"mitsubishi","fr-d700","h","VFD"
"mitsubishi","fr-d740-1.5k-cht","h","VFD"
"mitsubishi","fr-d740-0.4k-cht","h","VFD"
"mitsubishi","fr-e740-3.7k-cht","h","VFD"
"mitsubishi","fr-a840-00930-2-60","h","VFD"
"mitsubishi","fr-d740-0.75k-cht","h","VFD"
"mitsubishi","fr-d740-2.2k-cht","h","VFD"
"mitsubishi","fr-d740-5.5k-cht","h","VFD"
"mitsubishi","fr-d740-7.5k-cht","h","VFD"
"mitsubishi","fr-f740-22k-cht","h","VFD"
"mitsubishi","fr-a840-03610-2-60","h","VFD"
"mitsubishi","fr-e720","h","VFD"
"mitsubishi","fr-f720","h","VFD"
"mitsubishi","fr-d720","h","VFD"
"mitsubishi","fr-a740-132k-cht","h","VFD"
"mitsubishi","fr-a740-90k-cht","h","VFD"
"mitsubishi","fr-a740-110k-cht","h","VFD"
"mitsubishi","fr-a740-160k-cht","h","VFD"
"mitsubishi","fr-a740-185k-cht","h","VFD"
"mitsubishi","fr-a740-220k-cht","h","VFD"
"mitsubishi","fr-a740-250k-cht","h","VFD"
"mitsubishi","fr-a740-280k-cht","h","VFD"
"mitsubishi","fr-a740-315k-cht","h","VFD"
"mitsubishi","fr-a740-355k-cht","h","VFD"
"mitsubishi","fr-a740-400k-cht","h","VFD"
"mitsubishi","fr-a740-450k-cht","h","VFD"
"mitsubishi","fr-a740-500k-cht","h","VFD"
"mitsubishi","fr-d720s-0.4k-cht","h","VFD"
"mitsubishi","fr-d720s-0.75k-cht","h","VFD"
"mitsubishi","fr-d720s-1.5k-cht","h","VFD"
"mitsubishi","fr-f740-s75k-cht","h","VFD"
"mitsubishi","fr-f740-s90k-cht","h","VFD"
"mitsubishi","fr-f740-s110k-cht","h","VFD"
"mitsubishi","fr-f740-s132k-cht","h","VFD"
"mitsubishi","fr-f740-s160k-cht","h","VFD"
"mitsubishi","fr-f740-s185k-cht","h","VFD"
"mitsubishi","fr-e720s-0.1k-cht","h","VFD"
"mitsubishi","fr-e720s-0.2k-cht","h","VFD"
"mitsubishi","fr-e720s-0.4k-cht","h","VFD"
"mitsubishi","fr-e720s-0.75k-cht","h","VFD"
"mitsubishi","fr-e720s-1.5k-cht","h","VFD"
"mitsubishi","fr-e720s-2.2k-cht","h","VFD"
"mitsubishi","fr-d720s-0.2k-cht","h","VFD"
"mitsubishi","fr-d720s-2.2k-cht","h","VFD"
"mitsubishi","fr-a840-00083-2-60","h","VFD"
"mitsubishi","fr-a840-00620-2-60","h","VFD"
"mitsubishi","fr-a840-03250-2-60","h","VFD"
"mitsubishi","fr-a840-08660-2-60","h","VFD"
"mitsubishi","fr-a840-01160-2-60","h","VFD"
"mitsubishi","fr-f740-s220k","h","VFD"
"mitsubishi","fr-f740-s250k","h","VFD"
"mitsubishi","fr-f740-s280k","h","VFD"
"mitsubishi","fr-f740-s315k","h","VFD"
"mitsubishi","fr-f740-s355k","h","VFD"
"mitsubishi","fx1n-14mr-001","h","PLC"
"mitsubishi","fx1n-60mr-001","h","PLC"
"mitsubishi","fx1n-24mr-001","h","PLC"
"mitsubishi","fx1n-40mr-001","h","PLC"
"mitsubishi","fx2n-32mr-001","h","PLC"
"mitsubishi","fx2n-16mr-001","h","PLC"
"mitsubishi","fx2n-4ad","h","PLC"
"mitsubishi","fx2n-4da","h","PLC"
"mitsubishi","melsec-q","h","PLC"
"mitsubishi","gt27","h","HMI"
"mitsubishi","gt25","h","HMI"
"mitsubishi","gt23","h","HMI"
"mitsubishi","gt16","h","HMI"
"mitsubishi","gt15","h","HMI"
"mitsubishi","gt12","h","HMI"
"mitsubishi","gt11","h","HMI"
"mitsubishi","gt10","h","HMI"
"mitsubishi","gs21","h","HMI"
"mitsubishi","gb-50a","h","OpSat"
"moxa","np5110","h","SDS"
"moxa","edr-810","h","IWLR"
"netgear","www-authenticate","h","PLC"
"rockwell","pf700 20be011a0a","h","VFD"
"schneider","tsxfpacc8m","h","PLC"
"nordex","nc2 wind farm","h","PLC"
"nr","express5800","h","OpSat"
"omron","cp1h-x40dr-a","h","PLC"
"omron","cj1g_cpu42h","h","PLC"
"omron","cj1g_cpu43h","h","PLC"
"omron","cj1g_cpu44h","h","PLC"
"omron","cj1h_cpu66h","h","PLC"
"omron","cj1m_cpu11","h","PLC"
"omron","cj1m_cpu12","h","PLC"
"omron","cj1m_cpu13","h","PLC"
"omron","cj1m_cpu21","h","PLC"
"omron","cj1m_cpu22","h","PLC"
"omron","cj1w-eip21","h","PLC"
"omron","cj2h-cpu64-eip","h","PLC"
"omron","cj2h-cpu65-eip","h","PLC"
"omron","cj2h-cpu66-eip","h","PLC"
"omron","cj2h-cpu67-eip","h","PLC"
"omron","cj2h-cpu68-eip","h","PLC"
"omron","cj2m-cpu11","h","PLC"
"omron","cj2m-cpu31","h","PLC"
"omron","cj2m-cpu32","h","PLC"
"omron","cj2m-cpu33","h","PLC"
"omron","cj2m-cpu34","h","PLC"
"omron","cj2m-cpu35","h","PLC"
"omron","cj2m-eip21","h","PLC"
"omron","cp1h-xa40dr-a","h","PLC"
"omron","cp1h-xa40dt1-d","h","PLC"
"omron","cp1h-xa40dt-d","h","PLC"
"omron","cp1l-el20dr-d","h","PLC"
"omron","cp1l-el20dt1-d","h","PLC"
"omron","cp1l-el20dt-d","h","PLC"
"omron","cp1l-em30dr-d","h","PLC"
"omron","cp1l-em30dt-d","h","PLC"
"omron","cp1l-em40dr-d","h","PLC"
"omron","cp1l-em40dt1-d","h","PLC"
"omron","cp1l-l14dr-d","h","PLC"
"omron","cs1d_cpu42s","h","PLC"
"omron","cs1g_cpu44h","h","PLC"
"omron","cs1g_cpu45h","h","PLC"
"omron","cs1g-cpu45","h","PLC"
"omron","cs1h_cpu66h","h","PLC"
"omron","cj2m-eip2","h","PLC"
"omron","c120","h","PLC"
"omron","c200he","h","PLC"
"omron","c200hg","h","PLC"
"omron","c200hx","h","PLC"
"omron","c20hb","h","PLC"
"omron","cj1g","h","PLC"
"omron","cj1m","h","PLC"
"omron","cj2h","h","PLC"
"omron","cj2m","h","PLC"
"omron","cp1e","h","PLC"
"omron","cp1h","h","PLC"
"omron","cp1l","h","PLC"
"omron","cp1w","h","PLC"
"omron","cpm2b","h","PLC"
"omron","cpm2c","h","PLC"
"omron","cs1d","h","PLC"
"omron","cs1f","h","PLC"
"omron","cs1h","h","PLC"
"omron","cs1w","h","PLC"
"omron","nsj10","h","PLC"
"omron","nsj12","h","PLC"
"omron","nsj5","h","PLC"
"omron","nsj8","h","PLC"
"omron","sk20","h","PLC"
"omron","sp10","h","PLC"
"omron","sp16","h","PLC"
"omron","sp20","h","PLC"
"omron","ly2n-j","h","RPD"
"omron","my4n-gs","h","RPD"
"omron","my2n-gs","h","RPD"
"omron","my2n-j","h","RPD"
"omron","my4n-j","h","RPD"
"omron","g2r-1-e","h","RPD"
"omron","h3ba-n","h","RPD"
"omron","g2r-2","h","RPD"
"omron","h3y-2-c","h","RPD"
"omron","mks2p","h","RPD"
"omron","h3ba-n8h","h","RPD"
"omron","g2r-1-snd","h","RPD"
"omron","h3cr-h8l-s","h","RPD"
"omron","h5cz-l8","h","RPD"
"omron","g4q-212s","h","RPD"
"omron","g2r-1a","h","RPD"
"omron","g2r-1-sn","h","RPD"
"omron","h5cx-a-n","h","RPD"
"omron","g7sa-3a1b","h","RPD"
"omron","g3pa-210b-vd-x","h","RPD"
"omron","g32a-a10-vd","h","RPD"
"omron","y92b-n150","h","RPD"
"omron","g3pa-420b-vd","h","RPD"
"omron","g32a-a420-vd","h","RPD"
"omron","h3bf-n8","h","RPD"
"omron","y92b-n100","h","RPD"
"omron","h5cn-xan-z","h","RPD"
"omron","g2r-1a-e","h","RPD"
"omron","g3na-d210b","h","RPD"
"omron","g2r-2-sn","h","RPD"
"omron","g6c-1117p-fd-us","h","RPD"
"omron","h3y-4-c","h","RPD"
"omron","g7sa-3a3b","h","RPD"
"omron","g7sa-5a1b","h","RPD"
"omron","g7sa-4a2b","h","RPD"
"omron","g3nb-205b-1","h","RPD"
"omron","g3pa-240b-vd","h","RPD"
